tag,type,sha,date
3.0-ja,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-hu,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-he,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-fi,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-eu,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-et,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-cs,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-as,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-am,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-su,Container Image,sha256:729141bc731c4ff06c8a347a633e8ebaaa0e5a2f1e681a1b243817b0fa20c9d0,08/28/2025
3.0-eo,Container Image,sha256:729141bc731c4ff06c8a347a633e8ebaaa0e5a2f1e681a1b243817b0fa20c9d0,08/28/2025
3.0-mg,Container Image,sha256:729141bc731c4ff06c8a347a633e8ebaaa0e5a2f1e681a1b243817b0fa20c9d0,08/28/2025
3.0-yi,Container Image,sha256:729141bc731c4ff06c8a347a633e8ebaaa0e5a2f1e681a1b243817b0fa20c9d0,08/28/2025
3.0-ha,Container Image,sha256:729141bc731c4ff06c8a347a633e8ebaaa0e5a2f1e681a1b243817b0fa20c9d0,08/28/2025
3.0-gd,Container Image,sha256:729141bc731c4ff06c8a347a633e8ebaaa0e5a2f1e681a1b243817b0fa20c9d0,08/28/2025
3.0-fy,Container Image,sha256:729141bc731c4ff06c8a347a633e8ebaaa0e5a2f1e681a1b243817b0fa20c9d0,08/28/2025
3.0-br,Container Image,sha256:729141bc731c4ff06c8a347a633e8ebaaa0e5a2f1e681a1b243817b0fa20c9d0,08/28/2025
3.0-sw,Container Image,sha256:729141bc731c4ff06c8a347a633e8ebaaa0e5a2f1e681a1b243817b0fa20c9d0,08/28/2025
3.0-so,Container Image,sha256:729141bc731c4ff06c8a347a633e8ebaaa0e5a2f1e681a1b243817b0fa20c9d0,08/28/2025
3.0-ps,Container Image,sha256:729141bc731c4ff06c8a347a633e8ebaaa0e5a2f1e681a1b243817b0fa20c9d0,08/28/2025
3.0-mk,Container Image,sha256:729141bc731c4ff06c8a347a633e8ebaaa0e5a2f1e681a1b243817b0fa20c9d0,08/28/2025
3.0-fa,Container Image,sha256:729141bc731c4ff06c8a347a633e8ebaaa0e5a2f1e681a1b243817b0fa20c9d0,08/28/2025
3.0-cy,Container Image,sha256:729141bc731c4ff06c8a347a633e8ebaaa0e5a2f1e681a1b243817b0fa20c9d0,08/28/2025
3.0-bs,Container Image,sha256:729141bc731c4ff06c8a347a633e8ebaaa0e5a2f1e681a1b243817b0fa20c9d0,08/28/2025
3.0-sr,Container Image,sha256:729141bc731c4ff06c8a347a633e8ebaaa0e5a2f1e681a1b243817b0fa20c9d0,08/28/2025
3.0-ms,Container Image,sha256:729141bc731c4ff06c8a347a633e8ebaaa0e5a2f1e681a1b243817b0fa20c9d0,08/28/2025
3.0-sl,Container Image,sha256:729141bc731c4ff06c8a347a633e8ebaaa0e5a2f1e681a1b243817b0fa20c9d0,08/28/2025
3.0-bg,Container Image,sha256:729141bc731c4ff06c8a347a633e8ebaaa0e5a2f1e681a1b243817b0fa20c9d0,08/28/2025
3.0-id,Container Image,sha256:729141bc731c4ff06c8a347a633e8ebaaa0e5a2f1e681a1b243817b0fa20c9d0,08/28/2025
