tag,type,sha,date
3.12.0-amd64-fr-ca-antoineneural,Docker Image,sha256:2f5eb44e3405730348785ae0c666bd0ca4560603a08bbdd3304a126f5df3fea6,07/31/2025
3.12.0-amd64-fil-ph-blessicaneural,Docker Image,sha256:7c7c1cfbd6eb1e1e19b878b7ba9e0adeb134fd0a3532b83e09770c1b5d4a2b4e,07/31/2025
3.12.0-amd64-es-mx-jorgeneural,Docker Image,sha256:126f34887af39af106b18700ce678741b52940901c99c493eb6a0233af3311c8,07/31/2025
3.12.0-amd64-fa-ir-faridneural,Docker Image,sha256:d1fb4cec22720207890b6a319cac11f12c3978b57b853d9ef11841f7d00a15ff,07/31/2025
3.12.0-amd64-es-us-palomaneural,Docker Image,sha256:8e5010c23369b5a783c5d66d873c4595c5b909113803d42c1d8376bfef0aa682,07/31/2025
3.12.0-amd64-fil-ph-angeloneural,Docker Image,sha256:116704b859a2cca6eddd8644659591c1a1649e5758cf3111c8678075b5470285,07/31/2025
3.12.0-amd64-fa-ir-dilaraneural,Docker Image,sha256:3ee168cc7d18c131ca0cb4a66f788c254894c5cc868448d7a17222875f5a7412,07/31/2025
3.12.0-amd64-es-us-alonsoneural,Docker Image,sha256:68dc8291b03a54c5a18da3b0852f27f9331ad31e1be7fed6fc4701ef302f5fd9,07/31/2025
3.12.0-amd64-es-mx-dalianeural,Docker Image,sha256:b5363c70ae94d6a66f15e96dc3ddc4062451e760ed1706fbf1daf38ab80936bc,07/31/2025
3.12.0-amd64-de-de-seraphinamultilingualneural,Docker Image,sha256:cb6a075e43468660b077319185d43f5ee5f9615b4c8a42846080871a4ed255aa,07/31/2025
3.12.0-amd64-en-us-jennymultilingualneural,Docker Image,sha256:f2630ec6a410adde88606227f94fffe1f04115ad8fd9fe2eef319da98ca23ef4,07/31/2025
3.12.0-amd64-en-us-avaneural,Docker Image,sha256:b52982e70f948ef9da51cea9891fd931915ea2cc25a5b712a97e2350624a3a06,07/31/2025
3.12.0-amd64-es-mx-candelaneural,Docker Image,sha256:f96fc6bfdf045c990c96bb096e22fab731c6cab07f99eaaceda9dee19a595744,07/31/2025
3.12.0-amd64-es-es-elviraneural,Docker Image,sha256:3e7135a04a831a8dea755dbbe257011d9e2792bc54baf341201bfd352cb75471,07/31/2025
3.12.0-amd64-en-us-michelleneural,Docker Image,sha256:ba0f2f4e745b63f76b805fdd560ba2c15b80ed9aef933a94e4406f8c43004460,07/31/2025
3.12.0-amd64-es-es-alvaroneural,Docker Image,sha256:5e374048a8534446682e1563fbc89ecfda2db0f46995702775ba2926f77baa0a,07/31/2025
latest,Docker Image,sha256:58bcedeff0385c12c6549a0367109af3254b1f86ee0978d4c94d1e7b7f9fd5b7,07/31/2025
3.12.0-amd64-en-us-arianeural,Docker Image,sha256:58bcedeff0385c12c6549a0367109af3254b1f86ee0978d4c94d1e7b7f9fd5b7,07/31/2025
3.12.0-amd64-en-gb-sonianeural,Docker Image,sha256:209c4ba9d7415ff4c8afae89cc18e2ba8bc277ed4d00e904e279c50ff6d7934a,07/31/2025
3.12.0-amd64-en-us-guyneural,Docker Image,sha256:fbf1ad04470ba4a432e4a889af306bec21d20f25a46b0eb9dc0445bd9271f257,07/31/2025
3.12.0-amd64-en-gb-olivianeural,Docker Image,sha256:4f6ad6882800093a1fb425aa82fce4419e03d4aa8344f158807f71c1a08ce5a9,07/31/2025
3.12.0-amd64-en-us-christopherneural,Docker Image,sha256:33662b56232b26f14df193866a90e696a638448215d620427fb434b32d898b33,07/31/2025
3.12.0-amd64-en-us-jennyneural,Docker Image,sha256:3307690cba98c72677f68972aec67eff31b1a82e19a7efc2008a682c5fa82cd2,07/31/2025
3.12.0-amd64-en-gb-ryanneural,Docker Image,sha256:239bfdbcaa42094107a1f74b86653a030b60b4a849a6c80f7da94ddab2a0e8f4,07/31/2025
3.12.0-amd64-en-gb-libbyneural,Docker Image,sha256:a8a2ba13932905ac4207b88d1153d2de9dd6905ca1c7f61241ce4b20518f7b96,07/31/2025
3.12.0-amd64-de-de-katjaneural,Docker Image,sha256:d44287315a5e5b3a73529242d28312abed6e7274b7ce9c5453daffa8db81785a,07/31/2025
3.12.0-amd64-en-in-neerjaneural,Docker Image,sha256:7f4740c557edee42f83c761c9c61664b9d23472381bde06cd4a0ac32b3603060,07/31/2025
3.12.0-amd64-en-au-natashaneural,Docker Image,sha256:790fd974832d473fdeeb06c8cf57e658be2dcb37d43dd52b4806029e023d82e4,07/31/2025
3.12.0-amd64-en-in-prabhatneural,Docker Image,sha256:aa80fd9160484cfdd6124f1963ee4508c44cec29ad03ecfc53d3822512575a96,07/31/2025
3.12.0-amd64-en-ca-liamneural,Docker Image,sha256:683c44942c7f2d4792bb36ae510a485f5373b8fb110c0bcab64bc0f5a5dbb715,07/31/2025
3.12.0-amd64-en-ca-claraneural,Docker Image,sha256:cdd1e0affa1c5cfa6bbd51508ea4025fc875dbe8d24cd73a68eef9c41ab3b323,07/31/2025
3.12.0-amd64-en-au-williamneural,Docker Image,sha256:a51211f7a69669612e472e7882e127da3bf52f875d0a41591702d937c4c8375c,07/31/2025
3.12.0-amd64-de-de-conradneural,Docker Image,sha256:f78d308dd0c9bf7639a984031253bdecee62b74293f35d279f48cebc27e96d07,07/31/2025
3.12.0-amd64-de-de-amalaneural,Docker Image,sha256:ff30a55cc2f59027f6d439dbe605fa52fc259823a09dd2aec210c455a55eb292,07/31/2025
3.12.0-amd64-de-ch-lenineural,Docker Image,sha256:fee4de6e6e439755176aeae54a2a8ceb451027a9a61fe943a47417ed023fd480,07/31/2025
3.12.0-amd64-de-at-jonasneural,Docker Image,sha256:9819575c06c578a0cc2ecf472d4d8a6f4726ce5f80077dbdfc738eb1d0e3e97d,07/31/2025
3.12.0-amd64-de-ch-janneural,Docker Image,sha256:aa2f2ad3ae532e0e19079cf43810eadb20b5b29ad267a747536efefc550e3835,07/31/2025
3.12.0-amd64-da-dk-jeppeneural,Docker Image,sha256:ef55452e98b8caaa49e68bcf0fad63a77442dc48c50f30d19934220b8cde1522,07/31/2025
3.12.0-amd64-de-at-ingridneural,Docker Image,sha256:7b23203faca8d3f93e7f057d40e75720734e680c220abea40a50c51a17180c98,07/31/2025
3.12.0-amd64-az-az-babekneural,Docker Image,sha256:119a2a70a90eed2da661052bcc46345b88d9f7a1632a5175424bc0a6678fa7a6,07/31/2025
3.12.0-amd64-ar-sa-hamedneural,Docker Image,sha256:6b0b76d2c4c3cb9bf7eb5e1cad6d8ad98eafefff303c2a9a4a7cb1e93234bbff,07/31/2025
3.12.0-amd64-ar-sa-zariyahneural,Docker Image,sha256:40e5db8dcd2bd2a43115d33715581e435d7fd72312bf7e64247da1245282250f,07/31/2025
3.12.0-amd64-da-dk-christelneural,Docker Image,sha256:ac9143853e7aab5226c3d7071847ae83c44edc744592919c4b55d35b217859fc,07/31/2025
3.12.0-amd64-ar-bh-lailaneural,Docker Image,sha256:9671b1eaf2db61bd868fa378592b5ac1a93c6073c76aeee3314115e709884858,07/31/2025
3.12.0-amd64-ar-eg-shakirneural,Docker Image,sha256:8ad4ea8b04f10101f0810255d85a28a80f9a5e7146af4441dcbac179ced64511,07/31/2025
3.12.0-amd64-cs-cz-vlastaneural,Docker Image,sha256:65c1f1e1613801e7617d112e432e7c2f5878bf7891b9e00e2c1d6fb7c7a1f2f8,07/31/2025
3.12.0-amd64-ar-eg-salmaneural,Docker Image,sha256:beb135cd53b73ad533d011d39f8c758501e40675494805a7b610b65720ffb4e0,07/31/2025
3.12.0-amd64-cs-cz-antoninneural,Docker Image,sha256:da77a1ce8a2d5a120d70812ae678a862b627cd666fd6d437c840cac50b251f17,07/31/2025
3.12.0-amd64-az-az-banuneural,Docker Image,sha256:987e2ef24acecf7296756d710c61b312b4a9b93e08ef78dfd15fb51e0e65c633,07/31/2025
3.12.0-amd64-am-et-mekdesneural,Docker Image,sha256:779b247de3c281feed9076629ef2de07796c4360dc2523749279ef9ab3a8f056,07/31/2025
3.12.0-amd64-ar-ae-fatimaneural,Docker Image,sha256:18e65aac18f428bf30fd8f2e6bdfb4bd5b5657421175a8662065b74f43d6477a,07/31/2025
3.12.0-amd64-ru-ru-svetlananeural,Docker Image,sha256:ffb13d7f79d798801a8a3db24feca1f4e3a9b06cd35d2d5d93c1a463aefdc88f,07/31/2025
3.12.0-amd64-ar-ae-hamdanneural,Docker Image,sha256:2b7666b324212739162c496c26ce1b9fb588189b97f476f6ac532f7d88f0cf60,07/31/2025
3.12.0-amd64-am-et-amehaneural,Docker Image,sha256:b9aac3d6b1c74ce9587313427cc989d8c09ea808fc9cf84439cfd35e1e7c7cb7,07/31/2025
3.12.0-amd64-kk-kz-dauletneural,Docker Image,sha256:9b0d9435a43a0632bdbfe6b7987192aacebb75ffb1ebde03328d99d65b12b994,07/31/2025
3.12.0-amd64-ru-ru-dmitryneural,Docker Image,sha256:94993aee48fed04da9ba4b29bf1c3857737a6151807bad36549152190df9185b,07/31/2025
3.12.0-amd64-ru-ru-dariyaneural,Docker Image,sha256:8ce1077ecffcc12c90c5499897e2d886186e36f2e0ce7be58f7a9e9826efdca4,07/31/2025
3.12.0-amd64-kk-kz-aigulneural,Docker Image,sha256:a82c2e11320733fadbc4711328fa685614db634dd608dcf2ca2591faffd56643,07/31/2025
3.12.0-amd64-uk-ua-ostapneural,Docker Image,sha256:d0a4094269bac68d0191dfc3205473be10f2a615ea3fb1af10dfa55925e20d5c,07/31/2025
